Artista,Reproducciones,Oyentes,Biografía,Artistas Similares
Yawning Man,1585546,103500,"Yawning Man is an experimental rock band from the La Quinta, California, United States. The band originally formed in 1986, although they released no studio recordings until 2005. They were one of the first influential bands in the desert rock scene.

Yawning Man was born in 1986, originally founded by members Gary Arce, Alfredo Hernández, Mario Lalli, and Larry Lalli. At this time, the band started to play marathon jams from the garage to the desert. <a href=""https://www.last.fm/music/Yawning+Man"">Read more on Last.fm</a>","Brant Bjork, Fatso Jetson, Causa Sui, Mars Red Sky, Colour Haze"
Kamelot,40124449,503458,"Kamelot is a power metal band from Tampa, Florida that incorporates progressive and symphonic elements into their music. The band was founded by guitarist Thomas Youngblood and drummer Richard Warner in 1991.

In 1994 the band signed a deal with Noise Records; the release of their debut album Eternity followed in 1995. The next album, Dominion, was released in 1997.

Later that year, two of the band's members were replaced; drummer and founder Richard Warner and lead vocalist Mark Vanderbilt. <a href=""https://www.last.fm/music/Kamelot"">Read more on Last.fm</a>","Serenity, Sonata Arctica, Xandria, Avantasia, Epica"
Avenged Sevenfold,157006301,2415711,"Avenged Sevenfold (often abbreviated to A7X) is a heavy metal/hard rock band which formed in 1999 in Huntington Beach, California, United States. The band consists of vocalist M. Shadows, lead guitarist Synyster Gates, rhythm guitarist Zacky Vengeance, bassist Johnny Christ, and former Bad Religion and Suicidal Tendencies drummer Brooks Wackerman (2016-present). Heartbreakingly, the band's best friend and original drummer James ""The Rev"" Sullivan passed away in 2009. <a href=""https://www.last.fm/music/Avenged+Sevenfold"">Read more on Last.fm</a>","Bullet for My Valentine, Trivium, Slipknot, Disturbed, Metallica"
Jonathan Davis,1953534,155074,"There are two artists sharing the name Jonathan Davis: 1) The vocalist for KoЯn ; 2) An award winning Voice-Actor and Audiobook narrator

Jonathan Houseman Davis (born January 18, 1971) is the American vocalist for the multiplatinum nu metal band KoЯn. He was born and raised in Bakersfield, California, where he lived with his father and stepmother.

As well as being KoЯn's lead singer, he has also played bagpipes. Davis writes songs on guitar and other various instruments. <a href=""https://www.last.fm/music/Jonathan+Davis"">Read more on Last.fm</a>","Korn, Love and Death, (hed) Planet Earth, Adema, Mushroomhead"
Blackbriar,1857743,64585,"Blackbriar is an alternative metal-gothic rock band from Assen, the Netherlands. They have released two albums, three EPs, six singles, ten official music videos, one official lyric video and four acoustic live videos.

In October 2019, Blackbriar joined Epica as official support during their Design Your Universe 10th Anniversary Tour.

In November 2019, Blackbriar was invited to play the aftershow for Halestorm and In This Moment at the AFAS Live in Amsterdam, the Netherlands. The band signed a contract with Nuclear Blast in November 2022. <a href=""https://www.last.fm/music/Blackbriar"">Read more on Last.fm</a>","Snow White Blood, Elysion, Ad Infinitum, Xandria, Delain"
Outloud,168032,10025,"OUTLOUD stands for 3 artists:

1-  A 2009 hard rock side project of Firewind members Bob  
      Katsionis and Mark Cross

2-  A Band by Nile Rodgers

3-  Thrash Metal band from Canada

4-  Hardcore band from Boston

First artist: 
Outloud, formed in 2008 featuring Firewind� members Bob Katsionis on Keyboards and lead guitar, Mark Cross on Drums, «ex-Firewind, Helloween, Kingdom Come ....», Chandler Mogel of «Talon» on vocals, Tony Kash on guitar and Sverd on Bass of «Bare Infinity».. <a href=""https://www.last.fm/music/Outloud"">Read more on Last.fm</a>","Bai Bang, Shakra, H.E.A.T, Crazy Lixx, Jaded Heart"
Soulfly,23087250,769266,"Soulfly is an American metal band formed in Phoenix, Arizona in 1997. The original lyrical content revolved around spirituality, political and religious themes, with later albums encompassing other themes including war, violence, aggression, slavery, hatred and anger. Soulfly is led by former Sepultura frontman Max Cavalera, who formed the band after he left the Brazilian group in 1996. To date the band has released twelve studio albums, one tour EP, twenty-three singles, one video album, and twelve music videos. <a href=""https://www.last.fm/music/Soulfly"">Read more on Last.fm</a>","Cavalera Conspiracy, Sepultura, Machine Head, Ektomorf, Chimaira"
Kid Rock,12083374,1001198,"Kid Rock (born Robert James Ritchie on January 17, 1971 in Romeo, MI),  is an American singer-songwriter and rapper from Detroit with five Grammy Award nominations. Kid Rock is known for music that incorporates elements of hip-hop, rap metal, blues-rock, hard rock, southern rock, funk and country.

Kid Rock released several studio albums from 1988 that mostly went unnoticed before his 1998 record 'Devil Without a Cause', released with Atlantic Records, sold 11 million albums behind the hits, ""Bawitdaba"",""Cowboy,"" and ""Only God Knows Why"". <a href=""https://www.last.fm/music/Kid+Rock"">Read more on Last.fm</a>","Buckcherry, Uncle Kracker, Hinder, Theory of a Deadman, Nickelback"
Jonathan Young,3329189,112434,"Jonathan Young is an American singer, instrumentalist, and producer who is famous for performing covers of Disney-made and J-Pop songs, typically making metal, rock and punk covers. He created his channel in 2012  and posted his first song cover in the following year. Despite being known for covers, he has begun to make and release original music as well.

He's most well known for his collaborations with Magic The Gathering, Beyblade, Ernie Ball, Dragon Ball, Three Days Grace, Jason Paige, Caleb Hyles, and Tre Watson.  <a href=""https://www.last.fm/music/Jonathan+Young"">Read more on Last.fm</a>","Peyton Parrish, RichaadEB, Amanda Lee, NateWantsToBattle, FamilyJules"
The Rasmus,26504766,986423,"The Rasmus is a rock band formed in 1994 in Helsinki, Uusimaa, Finland. Consisting of  Lauri Ylönen (lead singer/songwriter), Eero Heinonen (bass), Aki Hakala (drums) and Emppu Suhonen (guitar). Former guitarist Pauli Rantasalmi left the band in January 2022 to focus on his own path. The band was formed at the end of the band members' schooling and were initially known as Rasmus. They recorded their first single, 1st, released independently through Teja Kotilainen Records in late 1995. <a href=""https://www.last.fm/music/The+Rasmus"">Read more on Last.fm</a>","Sunrise Avenue, Lauri, Reamonn, Manic Bloom, Poets of the Fall"
Killer Boogie,99627,17350,"Killer Boogie hail from Rome, Italy and are well-versed in the making of ’70s riff making: a machine in the retro ’n’ roll scene adept at mixing bluesy frequencies into an extremely fuzzy sound with psychedelic shades. They ground their roots in the sound of Blue Cheer, The Stooges, MC5, Cactus and Radio Moscow.

Members include: Gabriele Fiori on guitars and vocals (Black Rainbows), Luigi Costanzo on drums (The Wisdoom) and Matteo Marini on bass.
 <a href=""https://www.last.fm/music/Killer+Boogie"">Read more on Last.fm</a>","Hazemaze, Black Rainbows, The Heavy Eyes, The Midnight Ghost Train, Mothership"
Anaal Nathrakh,13874201,186372,"Anaal Nathrakh is a British extreme metal band formed in 1999 in Birmingham, England. They are currently signed to Metal Blade Records. The band's name is Irish for snake's breath (anál nathrach) and was taken from Merlin's Charm of Making in John Boorman's 1981 film Excalibur.[1] The band recorded two demos in 1999, which were later released as an album.

The band took their founding cues from Norwegian black metal bands such as Mayhem, Burzum, and Darkthrone. <a href=""https://www.last.fm/music/Anaal+Nathrakh"">Read more on Last.fm</a>","1349, Belphegor, Benighted, Cattle Decapitation, Fukpig"
Imperial Age,262350,20542,"Imperial Age is a symphonic metal / power metal band.. Originally founded in 2012 by singers/composers Alexander ""Aor"" Osipov and ""Corn"" (Jane Odintsova), the band moved to the UK following the 2022 Russian invasion of Ukraine. The group has musicians from Russia, UK, Italy, Netherlands and US, and their music is primarily in English. Including Anna Kiara (vocals))

Discography

Turn the Sun Off! -  (2012)
Warrior Race - (EP, 2016)
The Legacy Of Atlantis - (2018) <a href=""https://www.last.fm/music/Imperial+Age"">Read more on Last.fm</a>","REXORIA, Xandria, Temperance, Wildpath, Amberian Dawn"
Emma Ruth Rundle,6603679,176647,"Emma Ruth Rundle, born on October 10, 1983, in Los Angeles, CA is an American singer-songwriter, guitarist and visual artist currently based in Portland, Oregon. Formerly of The Nocturnes, she has released four solo albums under her own name, one darkwave album as The Headless Prince of Zolpidem, and is currently guitarist in Red Sparowes and vocalist/guitarist in Marriages.

Rundle's solo debut recording, Electric Guitar: One is a collection of guitar-based <a href=""https://www.last.fm/music/Emma+Ruth+Rundle"">Read more on Last.fm</a>","Marriages, Chelsea Wolfe, Jaye Jayle, Marissa Nadler, Midwife"
PelleK,1328371,108039,"PelleK or originally ""Per Fredrik Pellek Åsly"" is a Norwegian power metal vocalist who started his singing career on youtube where he in short time millions of views with cover-songs and videos such as ""PelleKs 4 Octave Vocal Range"".

PelleK is the lead vocalist of Damnation Angels, and he also has his solo project PelleK. He also sung guest or lead vocals for 8 (or more) signed bands in 2012.

PelleKs releases can (for the time being) be bought signed by PelleK himself on his official website. <a href=""https://www.last.fm/music/Pellek"">Read more on Last.fm</a>","Linked Horizon, RichaadEB, Sonata Arctica, Keldian, Twilight Force"
Earthless,1324050,124526,"Earthless is a mostly instrumental psychedelic rock band from San Diego, California, consisting of guitarist Isaiah Mitchell, bassist Mike Eginton and drummer Mario Rubalcaba.

The band formed in 2001 and released their first album, Sonic Prayer, through Gravity Records in 2005. Their second album, Rhythms from a Cosmic Sky, was released in 2007 through Tee Pee Records.

Mitchell sings occasionally, but the band's music is mostly instrumental and features long semi-improvised songs drawing on classic rock <a href=""https://www.last.fm/music/Earthless"">Read more on Last.fm</a>","Causa Sui, King Buffalo, Kadavar, Dozer, Mondo Drag"
Volbeat,48292887,874209,"Volbeat is a heavy metal band from Denmark, founded in 2001. They released their first album, The Strength/the Sound/the Songs, in 2005 and the follow up, Rock the Rebel/Metal the Devil, was released in Denmark on February 19, 2007, and in the rest of Europe on February 26, 2007. In March 2007, it topped the Danish album chart as the best selling album, the first metal album ever to do so.

Volbeat was formed in 2001 after frontman Michael Poulsen split up his former band, Dominus. <a href=""https://www.last.fm/music/Volbeat"">Read more on Last.fm</a>","Godsmack, Five Finger Death Punch, Stone Sour, Disturbed, Trivium"
Nightwish,154979796,1607951,"Nightwish is a Finnish symphonic metal band from Kitee. The band was formed in 1996 by lead songwriter and keyboardist Tuomas Holopainen, guitarist Emppu Vuorinen, and former lead singer Tarja Turunen. The band soon picked up drummer Jukka Nevalainen, and then bassist Sami Vänskä after the release of their debut album, Angels Fall First (1997). In 2001, Vänskä was replaced by Marko Hietala, who also took over the male vocalist role previously filled by Holopainen or guest singers. <a href=""https://www.last.fm/music/Nightwish"">Read more on Last.fm</a>","Epica, Tarja, Within Temptation, Xandria, Delain"
Frozen Land,99889,9639,"FROZEN LAND,  banda finlandesa de Power Metal con cantante italiano al frente, Tony Meloni. El resto de la banda la componen: Tuomas Hirvonen (guitarras), Aki Kuokkanen (batería), Lauri Muttilainen (teclados), y Juhana Heinonen al bajo. <a href=""https://www.last.fm/music/Frozen+Land"">Read more on Last.fm</a>","Burning Point, Galderia, Guardians of Time, Saint Deamon, Excalion"
BAND-MAID,8073338,116346,"Band-Maid, stylized as BAND-MAID and formerly as BAND-MAID®, is a five-piece, all-female Japanese rock group, signed to Gump Records, an imprint of the Shibuya-based Platinum Passport artist management and talent agency, itself a division of Avex Group.

The first incarnation known as BAND-MAID® was formed in july 2013 by Singer/guitarist Miku Kobato, a former employee of a Japanese maid café. Via an internet search Kobato found lead guitarist Kanami Tōno, who had performed as a singer-songwriter before. <a href=""https://www.last.fm/music/BAND-MAID"">Read more on Last.fm</a>","BAND-MAIKO, NEMOPHILA, Gacharic Spin, Bridear, Scandal"
MØL,1404605,56994,"MØL is a shoegaze/metal music project based in Århus, Denmark.  The band's name is the Danish word for ""moth"".  They are currently signed to Nuclear Blast Records as of January 2021, and were formerly on UK label Holy Roar Records and part of Prime Collective, DK.

Their first self-titled EP møl, released in 2014, was mixed & mastered by Maximilian Forst of Forester Recording Studio, who has formerly worked with such bands as Heretoir and  Thränenkind.  <a href=""https://www.last.fm/music/m%C3%B8l"">Read more on Last.fm</a>",
Memphis May Fire,17209397,455998,"Memphis May Fire is a metalcore band with southern rock influences (previously post-hardcore) currently based in Dallas, Texas. The band formed in December 2006, but it was not until February 2007 that the group decided on the name Memphis May Fire having previously gone by ""O Captain, My Captain!"". Since its formation, the band has released two EPs and six full-length albums, the latest being Remade in Misery which was released in 2022.

In early 2007, the band recorded and self-released an EP, and began creating a local following. <a href=""https://www.last.fm/music/Memphis+May+Fire"">Read more on Last.fm</a>","Wage War, We Came as Romans, Of Mice & Men, Palisades, Fit For A King"
Visions of Atlantis,4885413,205735,"Visions of Atlantis is an Austrian symphonic power metal band that formed in Styria, Austria in 2000. The band currently consists of Michele ""Meek"" Guaitoli (male vocals), Herbert Glos (bass), Christian Douscha (guitars), Thomas Caser (drums), and Clémentine Delauney (female vocals)

The original line-up consisted of Nicole Bogner (female vocals), Christian Stani (male vocals), Werner Fiedler (guitars), Mike Koren (bass), Chris Kamper (keyboards), and Thomas Caser (drums). <a href=""https://www.last.fm/music/Visions+of+Atlantis"">Read more on Last.fm</a>","Xandria, Beyond the Black, Delain, Temperance, Ad Infinitum"
P.O.D.,35143252,1638258,"Payable on Death (abbreviated as P.O.D.) is an American nu metal band from San Diego, California, formed in 1992. The band's line-up consists of vocalist Sonny Sandoval, drummer Wuv Bernardo, guitarist Marcos Curiel, and bassist Traa Daniels. They have released six major label studio albums along with two independent albums and have sold over 12 million records worldwide. Over the course of their career, the band have also received three Grammy Award nominations, contributed to numerous motion picture soundtracks and toured internationally. <a href=""https://www.last.fm/music/P.O.D."">Read more on Last.fm</a>","Papa Roach, Ill Niño, Nonpoint, Project 86, Spoken"
Brant Bjork,5243142,254847,"Brant Bjork (born March 19, 1973) is an American musician, singer, songwriter, multi-instrumentalist, and producer from Palm Desert, California. He is perhaps best known as the drummer and founder of the influential Californian stoner rock band Kyuss. Bjork played in Vista Chino, along with former Kyuss vocalist John Garcia. Until October 2014 when Nick Oliveri announced that there was a falling out and that Bjork and Garcia would continue working on their solo projects. <a href=""https://www.last.fm/music/Brant+Bjork"">Read more on Last.fm</a>","Hermano, Stöner, John Garcia, Fu Manchu, Yawning Man"
Hardcore Superstar,7455616,182711,"Hardcore Superstar is a hard rock band from Gothenburg, Sweden with heavy sleaze influences. The band was formed in 1997 and have released seven albums to date. Besides a short break, Hardcore Superstar have continuously toured and recorded since their formation.

Hardcore Superstar formed in autumn 1997 in Gothenburg and signed to Gain soon afterwards. Their debut album was recorded and released in Sweden. The album attracted the attention of English label Music for Nations and a new worldwide contract was drawn up. <a href=""https://www.last.fm/music/Hardcore+Superstar"">Read more on Last.fm</a>","Reckless Love, Sister, Crazy Lixx, Backyard Babies, The Cruel Intentions"
Seether,60225922,2085381,"Seether is a rock band founded in May 1999 in Pretoria, Gauteng, South Africa. The band originally performed under the name Saron Gas until 2002, when they moved to the United States and changed it to Seether to avoid confusion with the deadly chemical known as sarin gas.

Seether gained mainstream popularity in 2002 with their US Active Rock number one single ""Fine Again"", and their success was sustained in 2004 with the single ""Broken"", which peaked at number 20 on the Billboard Hot 100. <a href=""https://www.last.fm/music/Seether"">Read more on Last.fm</a>","Staind, Shinedown, Breaking Benjamin, 10 Years, Three Days Grace"
Leaves' Eyes,11622911,347414,"Leaves' Eyes is a symphonic metal band from Germany and Norway. Formed in 2003 by Liv Kristine, formerly the lead singer of Theatre of Tragedy, along with the entire line-up of Atrocity, the band has since released nine studio albums, a single, six EPs, one live album, and a DVD.

Most of Leaves' Eyes' lyrics, written by Liv Kristine until her departure in 2016, focus on Norse mythology and the Viking Age. The melodic vocals of Liv Kristine and her successor <a href=""https://www.last.fm/music/Leaves%27+Eyes"">Read more on Last.fm</a>","Xandria, Sirenia, Delain, After Forever, Tarja"
Pride & Glory,1202271,81042,"Pride & Glory was a side project for former Ozzy Osbourne guitarist Zakk Wylde. This was Zakk's first self-fronted project, after which he released the largely acoustic solo-album Book of Shadows in 1996. After that he formed Black Label Society in 1998, which remains his current band.

Coming together in 1991, during the No More Tours supposed-retirement tour for Ozzy's No More Tears, the band was originally named Lynyrd Skynhead and included the <a href=""https://www.last.fm/music/Pride+&+Glory"">Read more on Last.fm</a>","Black Label Society, Zakk Wylde, Warrior Soul, Texas Hippie Coalition, Black Stone Cherry"
Bonfire,1792951,110949,"Bonfire (originally Cacumen) is a German hard rock band, founded in Ingolstadt, Germany in 1972.

Cacumen (1972-1986)

In 1972 in the West German town of Ingolstadt a teenage guitarist, Hans Ziller, put together a rock band called Cacumen with his brother Karl, who also played guitar, and gathered a group of friends to complete the band. The name of the group was from a school test Hans had taken; it translates from Latin to mean ""the top of a mountain"". <a href=""https://www.last.fm/music/Bonfire"">Read more on Last.fm</a>","Shakra, Axel Rudi Pell, Gotthard, H.E.A.T, Jaded Heart"
Soundgarden,78282804,2758481,"Soundgarden was an American rock band formed in Seattle, Washington, in 1984 by singer and rhythm guitarist Chris Cornell, lead guitarist Kim Thayil (both of whom are the only members to appear in every incarnation of the band), and bassist Hiro Yamamoto. Matt Cameron became the band's full-time drummer in 1986, while bassist Ben Shepherd became a permanent replacement for Yamamoto in 1990. The band dissolved in 1997 and re-formed in 2010. Following Cornell's death in 2017 and a year of uncertainty of the band's future <a href=""https://www.last.fm/music/Soundgarden"">Read more on Last.fm</a>","Temple of the Dog, Alice in Chains, Stone Temple Pilots, Chris Cornell, Audioslave"
Power Trip,4487154,148855,"There is more than one artist with this name:

1) RIP Riley Gale. Formed in early 2008, POWER TRIP is a thrash metal band from Dallas, Texas in the vein of late 80's thrash metal. For fans of Exodus, Vio-Lence, later Cro-Mags, and Prong. Lockin' Out Records. http://www.facebook.com/powertriptx.  Their debut record Manifest Decimation was released on June 11, 2013 via Southern Lord Records. It was recorded in Hell by Satan himself, along with their sophomore album, Nightmare Logic, which was released February 24, 2017. <a href=""https://www.last.fm/music/Power+Trip"">Read more on Last.fm</a>","Fugitive, Enforced, Lowest Creature, High Command, Municipal Waste"
Nickelback,112605186,3707056,"Nickelback is a rock band which formed in Hanna, Alberta, Canada in 1995. Nickelback is one of the most commercially successful Canadian groups, having sold 50 million records worldwide. Nickelback ranks as the 7th best selling music act of the 2000s and the 2nd best selling foreign act in the US behind The Beatles for the 2000s.

The band consists of Chad Kroeger (vocals, guitar), Ryan Peake (guitar, vocals), Mike Kroeger (bass) and Daniel Adair (drums). <a href=""https://www.last.fm/music/Nickelback"">Read more on Last.fm</a>","Theory of a Deadman, Hinder, 3 Doors Down, Daughtry, Saving Abel"
Dio,35095041,1297714,"There are multiple artists with the name Dio.
1. Dio was an American heavy metal band formed in 1982 and led by vocalist Ronnie James Dio.
2. Dio is a Dutch hip hop artist.

1. Dio was an American heavy metal band formed in 1982 and led by vocalist Ronnie James Dio. Dio left Black Sabbath with intentions to form a new band with fellow former Black Sabbath drummer Vinny Appice. The name Dio was chosen because it made sense from a commercial standpoint, as the name was already well known at that time. <a href=""https://www.last.fm/music/Dio"">Read more on Last.fm</a>","Heaven & Hell, Rainbow, Elf, Black Sabbath, Judas Priest"
Lunatic Soul,5713291,165902,"Lunatic Soul is the solo project of Mariusz Duda, vocalist and bassist of Polish progressive rock band Riverside. The eponymous first (black) album was released on October 13, 2008. For the album, he enlisted the help of several friends from different bands such as Quidam, Indukti, and Riverside. In stark contrast to his main outfit, Lunatic Soul contains no electric guitars at all and can be best described as a mix of ambient and progressive elements - Duda himself calls the sound ""oriental-alternative"". <a href=""https://www.last.fm/music/Lunatic+Soul"">Read more on Last.fm</a>","Riverside, The Pineapple Thief, Mariusz Duda, Nosound, Gazpacho"
Rise Against,173453999,2567488,"Rise Against is an American punk rock band from Chicago, formed in 1999. The group's current line-up comprises vocalist/rhythm guitarist Tim McIlrath, lead guitarist Zach Blair, bassist Joe Principe and drummer Brandon Barnes. Rooted in hardcore punk and melodic hardcore, Rise Against's music emphasizes melody, catchy hooks, an aggressive sound and playstyle, and rapid tempos. Lyrically, the band is known for their outspoken social commentary, covering a wide range of topics such as political injustice <a href=""https://www.last.fm/music/Rise+Against"">Read more on Last.fm</a>","Billy Talent, Sum 41, Anti-Flag, Pennywise, The Offspring"
SKYND,1330482,50445,"SKYND’s music is based around real-life darkness, often tied to serial killers and murder. The latest dark chapter of humanity to be serialised by Netflix is the case of Elisa Lam, the Canadian tourist who wound up at the Cecil Hotel in Los Angeles on her trek across California, where she tragically met her untimely end. The case took the internet by storm in 2013 after the release of the infamous ​‘elevator video’, and interest has piqued again following the premiere of The Vanishing At The Cecil Hotel earlier this month. <a href=""https://www.last.fm/music/SKYND"">Read more on Last.fm</a>","Ludovico Technique, Skold, Swarm, 3TEETH, Blue Stahli"
Phil Campbell and the Bastard Sons,262923,24822,"Phil Campbell and the Bastard Sons is a Welsh musical group established in 2016 by longtime Motörhead guitarist Phil Campbell, following the 2015 death of Motörhead frontman Lemmy.

Debut EP:  Phil Campbell and the Bastard Sons   (2016)
In November 2016, his new project Phil Campbell and the Bastard Sons released their first recording, a self-titled EP.[5] The band has subsequently performed in supporting slots with Hawkwind, Guns & Roses, Saxon and Airbourne. <a href=""https://www.last.fm/music/Phil+Campbell+and+the+Bastard+Sons"">Read more on Last.fm</a>","Black Star Riders, The Dust Coda, Vandenberg, Danko Jones, Smith/Kotzen"
Stone Sour,58662811,1853890,"Stone Sour is an American rock band formed in Des Moines, Iowa, in 1992. The band performed for five years before disbanding in 1997. They reunited in 2000 and since 2015, the group has consisted of Corey Taylor (lead vocals, guitar), Josh Rand (guitar), Christian Martucci (guitar), Johny Chow (bass) and Roy Mayorga (drums). Longtime members Joel Ekman (drums, percussion) and Shawn Economaki (bass guitar) left the band in 2006 and 2011, respectively. Former lead guitarist Jim Root left in 2014. <a href=""https://www.last.fm/music/Stone+Sour"">Read more on Last.fm</a>","Corey Taylor, Slipknot, Godsmack, Seether, Drowning Pool"
DADAROMA,4219932,71234,"DADAROMA was a visual kei band from Japan that commenced formal activities at their one-man ""DADAROMA"" 2015.01.11 at Shinjuku Ruido K4. On March 26, 2020 frontman Yoshiatsu announced the band's indefinite hiatus, stating the band made a lot of great music during their run and that he did not want to wear out their name.

Vo. Yoshiatsu (よしあつ) (Since1889 → Crazy★shampoo→DADAROMA→current Fukuro (梟))
Gt. Takashi (太嘉志) (NAINE (as Shiki (シキ))→DADAROMA→current THE MADNA) <a href=""https://www.last.fm/music/DADAROMA"">Read more on Last.fm</a>","gulu gulu, kaneto-juusei, MEJIBRAY, XAAXAA, Madmans Esprit"
Stone Temple Pilots,52569039,2109324,"Stone Temple Pilots (also known by STP) is an American alternative rock band from San Diego, California, that originally consisted of Scott Weiland (lead vocals), brothers Dean (guitar) and Robert DeLeo (bass, backing vocals), and Eric Kretz (drums). The band's lineup remained unchanged from its formation in 1989 until the firing of Weiland in February 2013. Linkin Park vocalist Chester Bennington joined the band in May 2013 but left amicably in November 2015. <a href=""https://www.last.fm/music/Stone+Temple+Pilots"">Read more on Last.fm</a>","Soundgarden, Alice in Chains, Temple of the Dog, Mad Season, Velvet Revolver"
Confess,145737,13635,"1) Confess is a hard rock band from Stockholm, Sweden. In late 2008 the lead singer John Elliot formed the band, and soon Samael would join the band as the drummer. 

 The band started write their own material right away, and a few club shows were immediately on the schedule. The band released a demo in 2009 and the responses were really good.

 Denver joined for the guitar, and the writing for the debut album “Lights out” were in it’s making. <a href=""https://www.last.fm/music/Confess"">Read more on Last.fm</a>","Bai Bang, Crazy Lixx, BlackRain, The Cruel Intentions, Vains of Jenna"
Sershen&Zaritskaya,206244,14284,"YouTube rock cover band from Ukraine.

Sershen&Zaritskaya was originally formed in 2014 by Sergey Sershen (guitars) and Daria Zaritskaya (vocals). Drummer Dmitry Kim and bass player Alex Shturmak joined the band in 2017. The band is making covers and original songs as well <a href=""https://www.last.fm/music/Sershen&Zaritskaya"">Read more on Last.fm</a>","Animal Drive, Thundermother, Devil's Train, Reggy Jagger, DIAMANTE"
Asking Alexandria,54934175,833041,"Asking Alexandria is a British band from York, North Yorkshire. Founded in 2008 when Ben Bruce (lead guitar) contacted his old companions upon returning to the UK after residing in Dubai. The current line-up of the group consists of Danny Worsnop (Lead Vocals), Cameron Liddell (rhythm guitar), Sam Bettley (bass guitar) and James Cassells (drums).

Current members:
Danny Worsnop – lead vocals, keyboards, programming
James Cassells – drums
Cameron Liddell – rhythm guitar <a href=""https://www.last.fm/music/Asking+Alexandria"">Read more on Last.fm</a>","Of Mice & Men, Memphis May Fire, We Came as Romans, Crown the Empire, A Day to Remember"
Guardians Of Time,264787,17519,"Sometime in 1997 a handful of bored Norwegian metalheads were drinking beer at the local pub. Someone came up with the idea to form a band. What started out as musicians killing time, soon developed into something a lot more more serious. 

Their first demo landed them a record deal, and the debut album Edge of Tomorrow was released in 2001. The album received great reviews and the band made loyal fans all over the world. Both a Brazilian- and a German fan site were made by devoted fans. <a href=""https://www.last.fm/music/Guardians+of+Time"">Read more on Last.fm</a>","Crystal Eyes, NorthTale, Steel Engraved, Frozen Land, Burning Point"
For The Fallen Dreams,8190517,194973,"
Coming from Lansing, Michigan, For the Fallen Dreams signed to Rise Records during the summer of 2007. The band's 2008 debut release 'Changes' caught the ears and hearts of many, making them one of the biggest acts playing metalcore with a melodic hardcore influence. Their second full length, 'Relentless', was released in 2009. Back Burner was released on May 24, 2011 through Rise Records.

Current members:
Vocals - Chad Ruhlig (Legend) (2006-2008) (rejoined since 2013) <a href=""https://www.last.fm/music/For+the+Fallen+Dreams"">Read more on Last.fm</a>","Our Hollow, Our Home, The Ghost Inside, Miss May I, Texas in July, Buried in Verona"
Shining,9843355,226933,"There are 2 bands under the name of Shining: 
1) A Swedish extreme metal / black metal band.
2) A Norwegian progressive metal / avant-garde jazz group. 

1) Shining is a Swedish extreme metal / black metal band formed in 1996 by Niklas Kvarforth in Halmstad, Sweden. The band's music contains depressive undertones, which include personal and suicide-themed lyrics. Kvarforth is the main composer and vocalist of the band. He was only twelve years old when he started Shining. <a href=""https://www.last.fm/music/Shining"">Read more on Last.fm</a>","Forgotten Tomb, Psychonaut 4, Silencer, Bethlehem, Lifelover"
Michael Romeo,431478,21533,"Michael James Romeo (born March 6, 1968) is the guitarist and a founding member of the progressive metal group Symphony X.

Michael began playing guitar at age 14 and takes his influences from a wide of range sources including Randy Rhoads, Steve Vai, Marty Friedman, Al DiMeola, J.S. Bach, John Williams and Frank Zappa, although he draws most heavily from a neo-classical style reminiscent of Yngwie Malmsteen. Despite this, Michael manages to maintain <a href=""https://www.last.fm/music/Michael+Romeo"">Read more on Last.fm</a>","Symphony X, Pagan's Mind, Adagio, Redemption, Circus Maximus"
Accept,19424278,655850,"Accept is a German heavy metal band from the town of Solingen (NRW), formed in 1976 by guitarist Wolf Hoffmann and former members Udo Dirkschneider (vocals) and Peter Baltes (bass). Their beginnings can be traced back to the late 1960s, when the band got its start under the name Band X. Accept's lineup has changed over the years, which has included different singers, guitarists, bassists and drummers.

Their current lineup consists of Hoffmann, vocalist Mark Tornillo <a href=""https://www.last.fm/music/Accept"">Read more on Last.fm</a>","U.D.O., Saxon, Judas Priest, Manowar, Running Wild"
Skar,539232,36492,"There are various artists named Skar:

1)  Doom Metal from México, formed in 1996. Disbanded in 2017.

2) A Norwegian musician who specializes in doing covers in heavy metal style  (See Skar Productions)

_____________________________________________________________________

1)  Doom metal from Toluca, México. Released one album called Antifona de Entrada, in 2001.
While Skar was originally a one-man band, members were added eventually until it evolved to a full band. <a href=""https://www.last.fm/music/Skar"">Read more on Last.fm</a>","Brothers of Metal, Mystic Prophecy, Victorius, Warkings, Van Canto"
Alestorm,21753308,414932,"Alestorm is a multi-national folk metal band originally from Perth, Scotland. Their music is characterized by a pirate theme, and as a result they have been dubbed a ""pirate metal"" band by many critics and their fanbase.

After signing to Napalm Records in 2007, their debut album Captain Morgan's Revenge, was released on 25 January 2008. Black Sails at Midnight, the band's second album, was released on 27 May 2009. The band's third album, Back Through Time, was released on 3 June 2011. <a href=""https://www.last.fm/music/Alestorm"">Read more on Last.fm</a>","Gloryhammer, Rumahoy, Powerwolf, Korpiklaani, Wind Rose"
