Artista,Reproducciones,Oyentes,Biografía,Artistas_Similares
The Darkness,16877273,1149446,"There are at least six artists with this name:
1. A popular hard rock band from the United Kingdom
2. A death metal band from Germany
3. An alternative rock band from Poland
4. A Eurodance group
5. A thrash metal band from the Czech Republic

1. The Darkness is a hard rock band which formed in Lowestoft, England in 2000. The band consists of Justin Hawkins (vocals, guitar, keyboards), Dan Hawkins (guitar, vocals), Frankie Poullain (bass) and Ed Graham (drums). <a href=""https://www.last.fm/music/The+Darkness"">Read more on Last.fm</a>","Stone Gods, Sweet, The Wildhearts, Thunder, The Struts"
The Bones of J.R. Jones,1135415,122977,"
The Bones of J.R. Jones is a project from American singer, guitarist, and songwriter Jonathon Linaberry (born in central New York State in 1982).

J.R. is said to have started dabbling in music when he was six and his mother mandated – as she did with his older and younger brothers – that he take piano lessons. A self-taught guitar and banjo player, J.R.’s fondness for old gospel hymns, bluesmen like Son House and R.L. Burnside, and artists like The Carter Family and Tom Waits <a href=""https://www.last.fm/music/The+Bones+of+J.R.+Jones"">Read more on Last.fm</a>","Goodnight, Texas, Brown Bird, The Devil Makes Three, Lucette, Parker Millsap"
Jorge Drexler,9899914,279248,"Jorge Drexler (n. Montevideo; September 21, 1964), is a critically acclaimed Uruguayan singer/songwriter who resides in Spain, began his recording career in the early 90's but didn't experience mainstream breakthrough success until his seventh album, Eco (2004), and its Oscar-winning song ''Al Otro Lado Del Río''.

He comes from a Jewish family that fled persecution in Germany. He studied to become an otolaryngologyst (i.e., ear, throat, and nose doctor) like his parents but ultimately chose to pursue his passion for music.  <a href=""https://www.last.fm/music/Jorge+Drexler"">Read more on Last.fm</a>","El Kanka, Silvio Rodríguez, No Te Va Gustar, Lisandro Aristimuño, Pedro Guerra"
Pilot,1486182,231251,"There are multiple artists with this name:

1) Pilot was a rock group formed in 1973 in Edinburgh, Scotland by former Bay City Rollers members David Paton (vocals and bass) and Billy Lyall (keyboards).

The 1974 single Magic from their debut album was a #11 UK and #5 US hit and remains a pop classic. The simple but catchy pop ditty January gave them their biggest hit, securing the #1 spot in the UK singles chart in January 1975.

The band's only other chart hits were Call Me Round and Just A Smile (both 1975). <a href=""https://www.last.fm/music/Pilot"">Read more on Last.fm</a>","Andy Gibb, 10cc, Bay City Rollers, Player, Electric Light Orchestra"
Daniel Powter,8781556,1098086,"Daniel Powter is a Canadian recording artist, born on 25 February 1971. He grew up in Vernon, British Columbia, Canada, in the Okanagan Valley region of British Columbia. With few local musical influences, he credits his early exposure to music to his mother, who was a pianist and took her son on long distance trips to see artists like Prince perform in Vancouver.

Daniel Powter released his debut album, I'm Your Betty, in 2000. The album, limited to a very small print <a href=""https://www.last.fm/music/Daniel+Powter"">Read more on Last.fm</a>","Jason Mraz, James Blunt, Five for Fighting, James Morrison, Gavin DeGraw"
Pixies,179573309,3751259,"Pixies are an American alternative rock band which formed in Boston, Massachusetts, United States in 1986. The band consists of Charles (Black Francis) Thompson IV (vocals, guitar; also known as ''Frank Black''), Joey Santiago (lead guitar),   David Lovering (drums) and Emma Richardson (bass, vocals). Until 2013, the band also featured  Kim Deal on bass and vocals. From 2016 until 2024 the band also featured Paz Lechantin on bass and vocals.   The band officially split in 1993  and reunited in 2004. <a href=""https://www.last.fm/music/Pixies"">Read more on Last.fm</a>","Frank Black, The Breeders, Sonic Youth, Violent Femmes, The Smashing Pumpkins"
"Black Country, New Road",40638540,547824,"Black Country, New Road (commonly abbreviated to BCNR or BC,NR) are an English rock band formed in Cambridgeshire, United Kingdom in 2018, consisting of Luke Mark (guitars and backing vocals), Lewis Evans (saxophones, flute and vocals), Georgia Ellery (violin and backing vocals), May Kershaw (keyboards, accordion and vocals), Tyler Hyde (bass and vocals) and Charlie Wayne (drums and backing vocals). The band's first two albums featured lead vocalist Isaac Wood, who left the band in 2022. <a href=""https://www.last.fm/music/Black+Country,+New+Road"">Read more on Last.fm</a>","black midi, Squid, Maruja, Slint, Shame"
George Michael,42849632,2651865,"George Michael (born Georgios Kyriacos Panayiotou; 25 June 1963 – 25 December 2016) was an English singer, songwriter, and record producer. He is one of the best-selling musicians of all time, with his sales estimated at between 100 million to 125 million records worldwide. A prominent figure in popular music, Michael was known as a creative force in songwriting, vocal performance, and visual presentation. He achieved 10 number-one songs on the US Billboard Hot 100 and 13 number-one songs on the UK Singles Chart. <a href=""https://www.last.fm/music/George+Michael"">Read more on Last.fm</a>","Wham!, Simply Red, Lisa Stansfield, Seal, Paul Young"
Percy Sledge,3183211,596164,"Percy Sledge (born 25 November 1940 in Leighton, Alabama; died 14 April 2015 in Baton Rouge) was an American R&B and soul performer who most notably recorded the single ""When a Man Loves a Woman"" in 1966, an international top 40 hit that the RIAA has certified as gold. Having achieved his best successes in the mid-to-late 60s and early 70s with a series of emotional soul songs, in his later years he received the Rhythm and Blues Foundation's Career Achievement Award and was inducted in 2005 into the Rock and Roll Hall of Fame. <a href=""https://www.last.fm/music/Percy+Sledge"">Read more on Last.fm</a>","Wilson Pickett, The Drifters, Otis Redding, The Righteous Brothers, Sam & Dave"
Bill Cantos,57731,13286," <a href=""https://www.last.fm/music/Bill+Cantos"">Read more on Last.fm</a>","Chris Christian, David Diggs, Planet 3, Maxus, Kere Buchanan"
Sufjan Stevens,234207776,3298123,"Sufjan Stevens (Born July 1, 1975) is an American musician, songwriter, and multi-instrumentalist from Petoskey, Michigan. He is known for his lyrically focused and instrumentally rich songs that often relate to faith and family. He has enjoyed wide critical success in the United States. He is considered part of the folk revival through indie pop, but his influences are very broad, including experimental electronic music, the jazz of Vince Guaraldi, and the academic minimalism of Steve Reich and Philip Glass.  <a href=""https://www.last.fm/music/Sufjan+Stevens"">Read more on Last.fm</a>","Angelo De Augustine, Bon Iver, Fleet Foxes, Joanna Newsom, Big Thief"
Lord Of The Lost,6759668,136210,"Lord of the Lost is a German gothic metal band from Hamburg. The band was created by singer and frontman Chris Harms.

Lord of the Lost was founded in mid-2007 by Chris Harms as a solo project. While working on the initial songs and publishing them on MySpace, Harms received a lot of positive reception and realized that he would require a full band to play them live. He recruited other musicians from his friends in the Hamburg music scene to form the band and begin working on the first album. <a href=""https://www.last.fm/music/Lord+of+the+Lost"">Read more on Last.fm</a>","Hell Boulevard, Mono Inc., Scarlet Dorn, Gothminister, Deathstars"
Portugal. The Man,54475789,1722517,"Portugal. The Man is an experimental indie rock  band from Wasilla, Alaska (formed in 2004), but currenly based in Portland, Oregon, USA. The band's line-up currently consists of singer/guitarist John Gourley and bassist Zach Carothers (both formerly of Anatomy Of A Ghost), Gourley's wife Zoe Manville (backup vocals/percussion), guitarist Eric Howk, drummer Jason Sechrist, and keyboardist Kyle O'Quin (formerly of Gatsby's American Dream). The band has released nine studio albums (the latest being 2023's ""Chris Black Changed My Life"") <a href=""https://www.last.fm/music/Portugal.+The+Man"">Read more on Last.fm</a>","Broken Bells, Sir Sly, Cold War Kids, Saint Motel, Foster the People"
Jesse Roper,136988,27396,"Jesse Roper is a Canadian blues musician from Victoria, British Columbia. <a href=""https://www.last.fm/music/Jesse+Roper"">Read more on Last.fm</a>","Current Swell, The Sheepdogs, Larkin Poe, Nathaniel Rateliff & the Night Sweats, The Wanton Bishops"
Servando & Florentino,65927,6801," <a href=""https://www.last.fm/music/Servando+&+Florentino"">Read more on Last.fm</a>","Servando, Voz Veis, Jeremías, Sanluis, Los Bacanos"
Father John Misty,46967547,1211574,"Father John Misty, or J. Tillman, has been recording/releasing solo albums since 2003. Josh also played drums for Seattle’s Fleet Foxes from 2008-2011.

On January 31st 2012, he released the first single, 'Hollywood Forever Cemetery Sings', for his debut album under the Father John Misty moniker, ""Fear Fun"". The Phil Ek mixed and Jonathan Wilson produced LP was released on May 1st 2012 through Sub Pop (U.S.) and Bella Union (U.K.)

To date, Father John Misty has released 5 studio albums: Fear Fun (2012) <a href=""https://www.last.fm/music/Father+John+Misty"">Read more on Last.fm</a>","J. Tillman, Fleet Foxes, MJ Lenderman, Laura Marling, Sun Kil Moon"
Sayuri,2500082,113315,"Sayuri was a Japanese musician, singer and songwriter.

In 6th grade, Sayuri was impressed by the fact that, despite being idols, Kanjani Eight formed a band. They inspired her to take up guitar as a hobby. Sayuri began composing music during her second year of junior high school, aspiring to the lyrics and songwriting of Kanjani Eight.

Afterwards, under the name Asuka, she joined an acoustic duo called LONGTAL based in Fukuoka, she started performing in the streets and live houses of places like Hiroshima, Osaka, and Nagoya. <a href=""https://www.last.fm/music/Sayuri"">Read more on Last.fm</a>","ReoNa, ASCA, 鈴木このみ, Eir Aoi, Aimer"
The Hellacopters,10698606,322661,"The Hellacopters is a Swedish garage rock band that was formed in 1994 by Nicke Andersson (vocals and guitar), Andreas Tyrone ""Dregen"" Svensson (guitar), Kenny Håkansson (bass), and Robert Eriksson (drums). Andersson (sometimes known as Nick Royale) had been the drummer for the death metal band Entombed, and Dregen was taking a break from his full-time band Backyard Babies. Dregen and Eriksson had been roadies for Entombed, while Håkansson was a childhood friend of Andersson's. <a href=""https://www.last.fm/music/The+Hellacopters"">Read more on Last.fm</a>","Imperial State Electric, Gluecifer, Backyard Babies, Danko Jones, Hardcore Superstar"
Piti Fernández,51866,5513," <a href=""https://www.last.fm/music/Piti+Fern%C3%A1ndez"">Read more on Last.fm</a>","Don Osvaldo, Cruzando el Charco, Jóvenes Pordioseros, El Plan De la Mariposa, El Soldado"
Sigur Rós,146463585,2375571,"Sigur Rós is an Icelandic post-rock band. The name is derived from the name of lead vocalist Jónsi Birgisson's little sister, Sigurrós. They hail from the same creative and vibrant Icelandic music scene as múm and Amiina. They released their first-ever foray into film-making with their tour documentary, Heima in late 2007. 

Jón Þór Birgisson (Jónsi), Georg Hólm, and Ágúst Ævar Gunnarsson formed the group in Reykjavík, Iceland in August 1994. <a href=""https://www.last.fm/music/+noredirect/Sigur+R%C3%B3s"">Read more on Last.fm</a>","Jónsi, Alex Somers, Amiina, Hilmar Örn Hilmarsson, múm"
Stephen Bishop,1362045,199355,"Stephen Bishop (born 14 November 1951 in San Diego, California) is an American singer and guitarist. He had a major hit in 1977 with the song ""On and On""; his other hits include ""Save It for a Rainy Day,"" ""Everybody Needs Love,"" and ""It Might Be You,"" the theme from the movie Tootsie. He has also performed many movie themes, including the theme from National Lampoon's Animal House, which he sang in a falsetto voice. He also has a cameo role in that film as the aspiring folksinger whose guitar is smashed by John Belushi. <a href=""https://www.last.fm/music/Stephen+Bishop"">Read more on Last.fm</a>","Robbie Dupree, Ambrosia, England Dan & John Ford Coley, Christopher Cross, Orleans"
ZAQ,2495625,99234,"There are multiple artists with this name:

1) ZAQ (born March 16, 1988) is a female Japanese singer-songwriter signed to Lantis. ZAQ began to learn the piano at age three. During her college years, her idol was Minori Chihara, and it was during this time she decided to become a singer. However, she failed all her auditions. In junior high school, ZAQ's favorite bands were Mongol800 and Going Steady, two rock groups which she was addicted to. She <a href=""https://www.last.fm/music/ZAQ"">Read more on Last.fm</a>","鈴木このみ, OxT, ChouCho, ASCA, nonoc"
Old 97's,4860549,256109,"Old 97's is an alt-country band originally based in Dallas, Texas, USA. The group formed in 1993 and took their name from a song popularized by Johnny Cash, ""Wreck of the Old '97"". They describe themselves as a rock band with influences as varied as the Kinks, the Beatles, Pixies, David Bowie, X, and Merle Haggard. The band often performs songs made famous by the latter two musicians, and has interspersed a number of these on their eight releases since 1994. <a href=""https://www.last.fm/music/Old+97%27s"">Read more on Last.fm</a>","Rhett Miller, Uncle Tupelo, Son Volt, Drive-By Truckers, The Jayhawks"
Jerry Jeff Walker,1265674,144354,"Jerry Jeff Walker (born Ronald Clyde Crosby in Oneonta, New York, on 16 March 1942; died 23 October 2020) was an American country music singer and songwriter. He is best known for writing the 1968 song ""Mr. Bojangles"".

During the late 1950s, Crosby was a member of a local Oneonta teen band called The Tones. The band traveled to Philadelphia to audition for Dick Clark's ""American Bandstand"", but were turned down. Members of the band found Dick Clark's <a href=""https://www.last.fm/music/Jerry+Jeff+Walker"">Read more on Last.fm</a>","Guy Clark, Robert Earl Keen, Billy Joe Shaver, Steve Young, Rodney Crowell"
David Scarpeta,25944,2183," <a href=""https://www.last.fm/music/DAVID+SCARPETA"">Read more on Last.fm</a>","Emmanuel y Linda, Esperanza de Vida, Su Presencia, Christine D'Clario, Marco Barrientos"
Bryce Fox,2015537,206793,"Bryce Fox is a writer and emerging artist who collaborates with Mitch Allan, Danja, Jayson DeZuzio, Jon Levine, Captain Cuts, Busbee, Christoph Andersson, Frequency, and Dem Jointz. His melodic tendencies are similar to John Newman, Sam Harris of X Ambassadors, and Chris Cornell. <a href=""https://www.last.fm/music/Bryce+Fox"">Read more on Last.fm</a>","Adam Jensen, Bohnes, The Unlikely Candidates, Barns Courtney, Royal Deluxe"
The Poles,2248291,65874,"There are Multiple bands called The Poles: 

1)  South Korean band consisting of singer Daniel Kim of wave to earth, Lee Hwangje and Kim Kyungbae. They debuted on September 8th, 2017, with their first EP ‘From The Outset'. On February 23, 2024, it was announced that they will be promoting under the label wavy.

2) Short-lived Toronto punk band active in '76, fronted by visual artist Michaele Jordana Berman. Best known for iconic single ""C.N. Tower b/w Prime Time"" released in 1977 on Nimbus 9 records. <a href=""https://www.last.fm/music/The+Poles"">Read more on Last.fm</a>","wave to earth, Kim Daniel, Off The Menu, Potatoi, Jeon Jin Hee, wave to earth"
Dorothy,3828073,273790,"Dorothy is a name that's been used by several different artists:

1. Dorothy is an American rock band founded in Los Angeles, California, United States. The band is composed of vocalist Dorothy Martin, drummer Dylan Howard, guitarist DJ Black and bassist Gregg Cash. They released their first project, a self-titled EP, in 2014. Rolling Stone deemed them ""a band you need to know,"" and named them #14 on their 50 Best New Artists of 2014 list. On June 24, 2016, Dorothy released their debut album, ROCKISDEAD.  <a href=""https://www.last.fm/music/Dorothy"">Read more on Last.fm</a>","Halestorm, Dead Posey, Cilver, The Pretty Reckless, Thundermother"
Kraftklub,11189947,205790,"Kraftklub is a German indie rock band founded at the end of 2009 in Chemnitz and released their first EP entitled Adonis Maximus on 13 February 2010. Two of them are siblings, Felix and Till.

The band members:
Vocals: Felix Brummer,
Guitar/Vocals: Karl Schumann,
Guitar: Steffen Israel,
Bass: Till Brummer,
Drums: Max Marschk. <a href=""https://www.last.fm/music/Kraftklub"">Read more on Last.fm</a>","Madsen, Von wegen Lisbeth, KAFFKIEZ, Provinz, Alligatoah"
Slot Machine,766327,39570,"Slot Machine (สล็อต แมชชีน) is a rock band from Bangkok, Thailand. They record on the Sony BMG label. They were awarded Song of the Year for ""ผ่าน"" (""Pan"") at the Seed Awards held in January 2007,[1] having also been nominated for Rock Album of the Year, Rock Artist of the Year and Music Video of the Year.

MySpace:
http://www.myspace.com/slotmachineband

 <a href=""https://www.last.fm/music/Slot+Machine"">Read more on Last.fm</a>","Tilly Birds, Khaotung Thanawat, Bodyslam, Cocktail, Silly Fools"
Die Antwoord,34274272,832288,"Die Antwoord (Afrikaans for ""The Answer"") is a South African rap-rave group formed in Cape Town in 2008. The group was formed by rappers Ninja and Yolandi Visser (stylized as ¥O-LANDI VI$$ER), and God (formerly referred to as DJ Hi-Tek). Die Antwoord's image is based on a counterculture movement known as zef in South Africa. <a href=""https://www.last.fm/music/Die+Antwoord"">Read more on Last.fm</a>","Tommy Cash, 2rbina 2rista, Brooke Candy, Кровосток, ATL"
Özdemir Erdoğan,839666,58836,"Özdemir Erdoğan,(born June 17, 1940, Istanbul) is a Turkish pop and jazz artist. He's an estimable artist in Turkey and he received the ""Government Artist"" award from the Turkish Ministry of Culture. <a href=""https://www.last.fm/music/+noredirect/%C3%96zdemir+Erdo%C4%9Fan"">Read more on Last.fm</a>","Erol Evgin, Barış Manço, Cem Karaca, Tanju Okan, Alpay"
Moderatto,1775231,133347,"Moderatto is a Mexican pop-rock group famous for their glamorous/ironic style of music.

They began playing in the mid-nineties in Mexico City, as a parody of the glamorous style of many 80's bands like Poison and Mötley Crüe; it began as a side project to the members' original bands, but eventually became quite popular among members of the Mexican alternative scene. With the coming to the mainstream of many underground interests, they became widely popular. <a href=""https://www.last.fm/music/Moderatto"">Read more on Last.fm</a>","Motel, DLD, Allison, Aleks Syntek, Elefante"
King Clave,105961,23243,"King Clave is an Argentinian singer who sang the Spanish version of the Claude François/Burtayre song ""Le Telephone Pleure,"" named ""Mi Corazon Lloro.""

His career rocketed in the 70's with his charming personality and romantic music.
His Greatest Hits recorded include: (Click on Link to watch Videos)

1) Los hombres no deben llorar - Palmeira/Mario Zan (Men should not cry)

http://www.youtube.com/LocutorMysterio
http://www.youtube.com/watch?v=DNJvF-_6kRU <a href=""https://www.last.fm/music/King+Clave"">Read more on Last.fm</a>","Leo Dan, Diego Verdaguer, Leonardo Favio, Palito Ortega, Camilo Sesto"
Afrodisiaco,192661,14144," <a href=""https://www.last.fm/music/Afrodisiaco"">Read more on Last.fm</a>","Autocontrol, Hermanos Yaipen, Los Mojarras, Christian Meier, Paul Martin"
Jamestown Revival,856947,112270,"Jamestown Revival is an American rock duo from Magnolia, Texas.

At the heart of Jamestown Revival is a friendship that spans quite some years. Jonathan Clay and Zach Chance grew up together in the small Texas town of Magnolia. From a young age, they shared a love for music as well as the outdoors. About an hour north of Magnolia, Texas, there was some old family land with a dilapidated ranch house where they spent the better part of their adolescence. <a href=""https://www.last.fm/music/Jamestown+Revival"">Read more on Last.fm</a>","The Wild Feathers, Parker Millsap, Shovels & Rope, The Avett Brothers, The Wood Brothers"
Bahiano,143970,23549,"Bahiano fue el cantante, letrista y compositor de Los Pericos, una banda que logró un inédito éxito del reggae en el año 1987. Luego de diecisiete años y doce discos, decidió iniciar su carrera solista, que comenzó con el disco BH+, editado a comienzos del 2005.

La banda estuvo integrada por Matías Zapata (teclados, programación y coros), Pablo Akselrad (guitarras y coros), Matías Méndez (bajo), Hernán Martín (batería), Gustavo Martelli (percusión) <a href=""https://www.last.fm/music/Bahiano"">Read more on Last.fm</a>","Quique Neira, Riddim, Fidel Nadal, Javier Calamaro, Ella es Tan Cargosa"
Rauhbein,91558,5696,"The music of the band ""Rauhbein"", which has since been founded, reflects Henry's nature. The powerful guitars and loud drums show its rough and hard side, but also the melancholic-romantic has its place with strings and accordion. But it is Henry's unique voice that makes this music something very special. In her you can hear the life that hasn't always made it easy for him. Its timbre is warm and powerful like a 20 year old single malt and as rough and weathered as the ancient oaks of the Highlands. <a href=""https://www.last.fm/music/Rauhbein"">Read more on Last.fm</a>","Saltatio Mortis, Harpyie, Subway to Sally, Dartagnan, Nachtgeschrei"
Arcy Drive,614304,70911," <a href=""https://www.last.fm/music/Arcy+Drive"">Read more on Last.fm</a>","Briston Maroney, The Backseat Lovers, Krooked Kings, Duncan Fellows, Flipturn"
Warhaus,2778567,127336,"Warhaus is the solo moniker and alter ego of Belgian (Ghent-based) musician, songwriter and singer Maarten Devoldere (born 1988), who is best known as one of the frontmen of Balthazar. Off the back of Balthazar's Thin Walls (2015), the band members decided to take time off and do some exploring on their own. Warhaus is what Devoldere came up with, from 2016 onwards.

Warhaus is moody and atmospheric like the work of Leonard Cohen and Tom Waits and has the brooding romanticism of Serge Gainsbourg. <a href=""https://www.last.fm/music/Warhaus"">Read more on Last.fm</a>","Balthazar, J. Bernardt, Faces On TV, The Haunted Youth, dEUS"
Madrugada,8685038,257703,"Madrugada
«Chimes at Midnight»

When Madrugada regrouped to celebrate the 20th Anniversary of their classic debut album «Industrial Silence» in 2019, they quickly realised that interest in the band had not waned in their absence. It had, in fact, increased, not least on the European continent.

What’s more, they realised that they loved being back together. Being in Madrugada had never been quite this much fun.

Says vocalist and guitarist Sivert Høyem: «It was if as the last piece of the puzzle had snapped into place. <a href=""https://www.last.fm/music/Madrugada"">Read more on Last.fm</a>","Sivert Høyem, Midnight Choir, The Veils, dEUS, Black Lab"
Izïa,385398,35350,"Izïa Higelin (Paris, 24 September 1990), better known as Izia, is a French singer and actress.

She released her first EP in 2006 and her debut album, Izia, was released in June 2009, reaching #31 on the French charts. She has recorded several appearances in French film productions such as Saint-Amour, Samba and Mune: The Keeper of the Moon.

Izïa was born in Paris on 24 September 1990. She is the daughter of Jacques Higelin, a famous French singer-songwriter, and Aziza Zakine, a dancer and chorus girl of Tunisian descent. <a href=""https://www.last.fm/music/+noredirect/Iz%C3%AFa"">Read more on Last.fm</a>","M, Juliette Armanet, Ben Mazué, Marie Flore, Suzane"
Bad Suns,13902171,579497,"Southern California rock band from Woodland Hills, California Bad Suns formed in 2012 and in the short time since inception, have managed to be musically beyond their years. Made up of Christo Bowman (vocals), Gavin Bennett (bass), Miles Morris (drums) and Ray Libby (guitar) the four piece ranges from ages 19-22 yet has a sound reminiscent of rock stalwarts from generations past. “I grew up with a lot of world music playing in the house. When I was 10 <a href=""https://www.last.fm/music/Bad+Suns"">Read more on Last.fm</a>","Coin, CRUISR, HUNNY, Smallpools, Flor"
Rachael Lampa,457694,56684,"Rachael Maureen Lampa is an American contemporary Christian pop singer, born January 8, 1985 in Ann Arbor, Michigan.

She's been singing since she was a toddler, and was able to sing perfect harmony by age four. Singing too loud at the dinner table got her sent to her room more than once. At the age of 14, Rachael was discovered at a music conference in Colorado by Word Records producers Brown Bannister and Brent Bourgeois. Her debut album, Live For You released a year later in 2000.

Rachel is looking to be married to an undisclosed admirer. <a href=""https://www.last.fm/music/Rachael+Lampa"">Read more on Last.fm</a>","Nichole Nordeman, Natalie Grant, Point of Grace, Britt Nicole, Jaci Velasquez"
Los Pericos,2999682,211715,"In 1986 a group of friends who used to get together to play music, became LOS PERICOS, the first REGGAE Rock band in Argentina. 

Their first record, “LOS PERICOS” released in 1988 was the best selling album of the year, obtaining Triple Platinum Award for its 180 thousand units sold.

One year later, they recorded KING KONG, produced by Herbert Vianna (OS PARALAMAS DO SUCESSO). Immediately after, they launched Maxi ANFITREU, a vinyl disc that impacted because of its unique style. <a href=""https://www.last.fm/music/Los+Pericos"">Read more on Last.fm</a>","Los Cafres, Los Fabulosos Cadillacs, Los Auténticos Decadentes, Gondwana, Bersuit Vergarabat"
The Birthday,1601491,32148,"
The Birthday is a Japanese rock band formed in 2006, shortly after ROSSO’s disbandment. Having played together in both ROSSO and Midnight Bankrobbers, チバユウスケ (Chiba Yusuke) and イマイアキノブ (Imai Akinobu) decided to form a new band together, and were quickly joined by クハラカズユキ (Kuhara Kazuyuki) on drums and ヒライハルキ (Hirai Haruki) on bass. It’s worth noting that drummer Kuhara Kazuyuki used to play with Chiba Yusuke in the well-known garage rock band THEE MICHELLE GUN ELEPHANT <a href=""https://www.last.fm/music/The+Birthday"">Read more on Last.fm</a>","Thee Michelle Gun Elephant, The Yellow Monkey, 10-FEET, BLANKEY JET CITY, ART-SCHOOL"
Ruth Koleva,53138,7761,"Bulgaria. Breeding ground for music talent. News to you? Well that's because Ruth Koleva is a different breed of artist. Born into a volatile world of corruption and hardship in post-Communist Eastern Europe, she endured a difficult childhood largely spent without her mother, found salvation in the classics (Marvin Gaye, Ella Fitzgerald, Nat King Cole) and became 'tour-hardened' by jaunts to far-flung destinations such as India and Thailand in the company of her Olympian father (a weightlifting trainer). <a href=""https://www.last.fm/music/Ruth+Koleva"">Read more on Last.fm</a>","Orlin Pavlov, Maria Ilieva, Y A N A, Mastilo, Белослава"
Dante Spinetta,225355,16906,"Dante Spinetta is a rap and rock musician who started his career as one half of the hip-hop duo Illya Kuryaki and the Valderramas. <a href=""https://www.last.fm/music/Dante+Spinetta"">Read more on Last.fm</a>","Illya Kuryaki And The Valderramas, El Zar, Bersuit Vergarabat, Lara91k, Willy Crook"
Yodelice,1473428,104003,"Yodelice (real name Maxim Nucci) was born on February 23, 1979 in Créteil, France. At 6, he joined the Conservatoire & learnt guitar. At 15, he joined London's Musician Institute, where he became the youngest guitar teacher. Playing bass, guitar & keyboards, Maxim has been noticed by Santi in 2001 & signed to Mercury. Collaborations followed... 
After his first album Maxim Nucci in 2006, Maxim went on tour. He has been Vanessa Paradis' supporting <a href=""https://www.last.fm/music/Yodelice"">Read more on Last.fm</a>","Cocoon, Moriarty, Lilly Wood & The Prick, Jil Is Lucky, Charlie Winston"
Full Trunk,467392,13786,"The rock n' Blues Trio from Israel are well known in the blues scene in Israel.
After 4 years of touring over the country the band is about to release there first album during 2014.  <a href=""https://www.last.fm/music/Full+Trunk"">Read more on Last.fm</a>","Tuna, Ray Goren, Elles Bailey, Steve Fawcett, No Money Kids"
Nicolás y los Fumadores,528831,19619,"Nicolás y Los Fumadores es una banda de rock alternativo bogotana conformada por Nicolás Correa (guitarra líder), Luis Felipe Torres (bajo), Santiago García (voz y guitarra) y Juan Carlos Sánchez (batería) quienes han tocado juntos en diferentes agrupaciones hasta que en el año 2016, tras una serie de renuncias y despedidas, decidieron formar Nicolás y Los Fumadores. A comienzos de 2019, Felipe Velásquez deja la alineación siendo remplazado por Luis Felipe Torres en el bajo.  <a href=""https://www.last.fm/music/Nicol%C3%A1s+y+los+Fumadores"">Read more on Last.fm</a>","DISTIMIA AGORAFÓBICA, Quemarlo todo por error, La Hermanastra más Fea, Kidchen, Encarta 98"
Turf,825249,63942,"Turf is a rock band from Argentina. It was formed in December 1995 & since then they been playing all around in Buenos Aires. 

Their first album was edited in August 1997 and it was called ""Una pila de vida"". In this album Charly García participated in the song ""Despiole generacional"". In that year they played with Los Ratones Paranoicos in the festival Buenos Aires Vivo. The two promo songs for this album were ""Casanova"" y ""Crónica Te Ve"".

In 1998 they played supporting The Rolling Stones in their concert in River Plate Stadium <a href=""https://www.last.fm/music/Turf"">Read more on Last.fm</a>","Los Tipitos, Estelares, Ciro y Los Persas, Los Piojos, Bersuit Vergarabat"
Los 007,30715,6909," <a href=""https://www.last.fm/music/Los+007"">Read more on Last.fm</a>","Los York's, Golden Stars, Los Datsun's, Los Impala, Los Silverton's"
King Stingray,348210,26989,"King Stingray are a four piece Yolŋu surf-rock band from Yirrkala North-East Arnhem Land, Australia. Creating a genre of their own in Yolŋu surf-rock, the band merge ancient indigenous melodies with a fresh new sound. It is the follow-up of the iconic band Yothu Yindi - King Stingray are the children of the iconic Australian band Yothu Yindi . <a href=""https://www.last.fm/music/King+Stingray"">Read more on Last.fm</a>","Thelma Plum, Lime Cordiale, The Rions, Spacey Jane, Yothu Yindi"
José Pinhal,237660,7632," <a href=""https://www.last.fm/music/Jos%C3%A9+Pinhal"">Read more on Last.fm</a>","António Variações, Capitão Fausto, Ganso, José Mário Branco, Rui Veloso"
La Renga,2418876,81013,"Argentinean hard rock band formed in 1988. They're one of the most important argentinan band ever,  characterized by their independenet style, without appearing in the mainstream media and not appearing in festivales unless it's for a benefic cause. They are followed by a very loyal audience that travels throughout Argentina and even other countries like Chile and Uruguay. 
Originated in Mataderos, a humble quartier of Buenos Aires, they started playing small gigs in the neighbourhood. <a href=""https://www.last.fm/music/La+Renga"">Read more on Last.fm</a>","Divididos, Patricio Rey y sus Redonditos de Ricota, Los Piojos, Callejeros, Viejas Locas"
Ganso,322126,17109," <a href=""https://www.last.fm/music/Ganso"">Read more on Last.fm</a>","Capitão Fausto, António Variações, B Fachada, Ornatos Violeta, Rui Veloso"
Alexisonfire,48509718,780320,"Alexisonfire (pronounced 'Alexis-on-fire') is a band from St. Catharines, Ontario, Canada. Their music is characterized by turbulent and explosive dynamics with intricate guitar melodies. Consisting of five friends, they formed in late 2001 as the result of a three-band break up.

The band’s name is inspired by a lactating contortionist stripper named Alexis Fire. This caused problems when she discovered that they were using her website name (alexisonfire. <a href=""https://www.last.fm/music/Alexisonfire"">Read more on Last.fm</a>","Underoath, Saosin, Thrice, Funeral for a Friend, Thursday"
